DATE,CPIAUCSL
1947-07-07,22.24975780008743
1947-07-08,22.25293631420538
1947-07-09,22.256151451949393
1947-07-10,22.259429209953876
1947-07-11,22.262795584853244
1947-07-12,22.266276573281907
1947-07-13,22.269898171874278
1947-07-14,22.27368637726476
1947-07-15,22.277667186087772
1947-07-16,22.28186659497772
1947-07-17,22.286310600569024
1947-07-18,22.291025199496083
1947-07-19,22.29603638839332
1947-07-20,22.301370163895132
1947-07-21,22.307052522635942
1947-07-22,22.313109461250157
1947-07-23,22.319566976372187
1947-07-24,22.326451064636444
1947-07-25,22.333787722677343
1947-07-26,22.34160294712928
1947-07-27,22.34992273462669
1947-07-28,22.358773081803964
1947-07-29,22.368179985295523
1947-07-30,22.37816944173577
1947-07-31,22.38876744775913
1947-08-01,22.4
1947-08-02,22.411880850398735
1947-08-03,22.42437477211946
1947-08-04,22.43743429363223
1947-08-05,22.4510119434071
1947-08-06,22.46506024991413
1947-08-07,22.47953174162339
1947-08-08,22.494378947004925
1947-08-09,22.50955439452881
1947-08-10,22.525010612665085
1947-08-11,22.540700129883824
1947-08-12,22.556575474655077
1947-08-13,22.572589175448908
1947-08-14,22.588693760735374
1947-08-15,22.604841758984538
1947-08-16,22.620985698666452
1947-08-17,22.63707810825118
1947-08-18,22.653071516208787
1947-08-19,22.668918451009322
1947-08-20,22.68457144112285
1947-08-21,22.699983015019424
1947-08-22,22.71510570116911
1947-08-23,22.729892028041963
1947-08-24,22.74429452410805
1947-08-25,22.758265717837418
1947-08-26,22.771758137700132
1947-08-27,22.784724312166254
1947-08-28,22.797116769705838
1947-08-29,22.808888038788943
1947-08-30,22.81999064788564
1947-08-31,22.83037712546597
1947-09-01,22.84
1947-09-02,22.848825572104793
1947-09-03,22.85687523098541
1947-09-04,22.86418413799391
1947-09-05,22.870787454482358
1947-09-06,22.876720341802816
1947-09-07,22.882017961307348
1947-09-08,22.886715474348012
1947-09-09,22.890848042276872
1947-09-10,22.894450826445993
1947-09-11,22.897558988207436
1947-09-12,22.900207688913266
1947-09-13,22.902432089915543
1947-09-14,22.904267352566325
1947-09-15,22.905748638217673
1947-09-16,22.906911108221664
1947-09-17,22.90778992393035
1947-09-18,22.908420246695794
1947-09-19,22.908837237870056
1947-09-20,22.909076058805205
1947-09-21,22.9091718708533
1947-09-22,22.909159835366403
