DATE,USTRADE
1939-07-06,3165.8161290322582
1939-07-07,3165.81935483871
1939-07-08,3165.8225806451615
1939-07-09,3165.825806451613
1939-07-10,3165.8290322580647
1939-07-11,3165.8322580645163
1939-07-12,3165.835483870968
1939-07-13,3165.8387096774195
1939-07-14,3165.841935483871
1939-07-15,3165.8451612903227
1939-07-16,3165.8483870967743
1939-07-17,3165.851612903226
1939-07-18,3165.8548387096776
1939-07-19,3165.858064516129
1939-07-20,3165.8612903225808
1939-07-21,3165.8645161290324
1939-07-22,3165.867741935484
1939-07-23,3165.8709677419356
1939-07-24,3165.874193548387
1939-07-25,3165.877419354839
1939-07-26,3165.8806451612904
1939-07-27,3165.883870967742
1939-07-28,3165.8870967741937
1939-07-29,3165.8903225806453
1939-07-30,3165.893548387097
1939-07-31,3165.8967741935485
